,price,city,kms_driven,owner,age,power,brand
0,35000.0,Ahmedabad,17654,First Owner,3,110.0,TVS
1,119900.0,Delhi,11000,First Owner,4,350.0,Royal Enfield
2,600000.0,Delhi,110,First Owner,8,675.0,Triumph
3,65000.0,Bangalore,16329,First Owner,4,180.0,TVS
4,80000.0,Bangalore,10000,First Owner,3,150.0,Yamaha
5,53499.0,Delhi,25000,First Owner,6,150.0,Yamaha
6,85000.0,Delhi,8200,First Owner,3,160.0,Honda
7,45000.0,Delhi,12645,First Owner,3,100.0,Hero
8,145000.0,Bangalore,9190,First Owner,3,350.0,Royal Enfield
9,88000.0,Delhi,19000,Second Owner,7,500.0,Royal Enfield
10,72000.0,Bangalore,20000,First Owner,7,150.0,Yamaha
11,95000.0,Bangalore,9665,First Owner,4,250.0,Yamaha
12,78000.0,Bangalore,9900,First Owner,4,200.0,Bajaj
13,29499.0,Delhi,20000,First Owner,8,100.0,Bajaj
14,29900.0,Delhi,20000,First Owner,7,125.0,Bajaj
15,90000.0,Bangalore,11574,First Owner,3,200.0,Bajaj
16,120000.0,Bangalore,23000,First Owner,3,200.0,Bajaj
17,48000.0,Mumbai,24725,First Owner,5,150.0,Suzuki
18,240000.0,Mumbai,15025,Second Owner,3,302.0,Benelli
19,29900.0,Delhi,20000,First Owner,7,125.0,Bajaj
20,120000.0,Bangalore,23000,First Owner,3,200.0,Bajaj
21,48000.0,Mumbai,24725,First Owner,5,150.0,Suzuki
22,46500.0,Delhi,3500,First Owner,2,110.0,Hero
23,121700.0,Kalyan,24520,First Owner,5,500.0,Royal Enfield
24,45000.0,Delhi,23000,First Owner,6,150.0,Yamaha
25,78000.0,Bangalore,9900,First Owner,4,200.0,Bajaj
26,20000.0,Ahmedabad,29305,First Owner,16,125.0,Hero
27,20800.0,Faridabad,30500,Second Owner,7,125.0,Honda
28,50000.0,Bangalore,19000,First Owner,8,150.0,Bajaj
29,81200.0,Mettur,9100,First Owner,2,160.0,Honda
30,88000.0,Hyderabad,21914,First Owner,3,200.0,Bajaj
31,80000.0,Kaithal,20000,Second Owner,4,150.0,Yamaha
32,40900.0,Gurgaon,15000,First Owner,6,220.0,Bajaj
33,180000.0,Pune,17700,First Owner,4,390.0,KTM
34,40000.0,Noida,30000,First Owner,8,150.0,Honda
35,70000.0,Nashik,100000,Second Owner,8,200.0,KTM
36,98800.0,Kochi,39000,First Owner,5,350.0,Royal Enfield
37,65000.0,Allahabad,43000,First Owner,6,150.0,Honda
38,190500.0,Samastipur,4550,First Owner,2,500.0,Royal Enfield
39,179000.0,Bangalore,3400,First Owner,2,200.0,KTM
40,70000.0,Nadiad,45000,First Owner,8,350.0,Royal Enfield
41,45000.0,Hyderabad,36100,First Owner,6,220.0,Bajaj
42,78000.0,Lucknow,8500,First Owner,13,350.0,Royal Enfield
43,110000.0,Bangalore,2550,First Owner,2,220.0,Bajaj
44,85000.0,Delhi,18000,First Owner,6,350.0,Royal Enfield
45,38000.0,Delhi,35000,First Owner,9,200.0,Bajaj
46,55346.0,Noida,38000,First Owner,10,350.0,Royal Enfield
47,28000.0,Jaipur,45000,First Owner,2,110.0,Mahindra
48,37000.0,Mumbai,10800,First Owner,8,150.0,Hero
49,97000.0,Delhi,4400,First Owner,3,150.0,Suzuki
50,40000.0,Karnal,357000,First Owner,8,150.0,Yamaha
51,90000.0,Delhi,15300,First Owner,7,350.0,Royal Enfield
52,60000.0,Mumbai,30000,First Owner,5,160.0,TVS
53,21900.0,Gorakhpur,30000,Second Owner,7,125.0,Honda
54,40000.0,Ahmedabad,64000,First Owner,7,220.0,Bajaj
55,475000.0,Mumbai,11500,Second Owner,3,600.0,Benelli
56,34500.0,Ahmedabad,17056,First Owner,5,110.0,Honda
57,25000.0,Vidisha,172082,First Owner,9,150.0,Yamaha
58,30200.0,Bangalore,45000,First Owner,7,150.0,Suzuki
59,65000.0,Hosur,35000,First Owner,5,220.0,Bajaj
60,25000.0,Mumbai,38000,First Owner,9,150.0,Bajaj
61,935000.0,Bagalkot,2500,First Owner,2,900.0,Kawasaki
62,107100.0,Delhi,15438,Second Owner,3,350.0,Royal Enfield
63,80000.0,Delhi,6000,First Owner,3,220.0,Bajaj
64,88000.0,Delhi,19000,First Owner,5,350.0,Royal Enfield
65,94700.0,Baripara,32700,First Owner,4,200.0,KTM
66,12200.0,Agra,46643,First Owner,14,100.0,Hero
67,106000.0,Delhi,19000,First Owner,6,350.0,Royal Enfield
68,29500.0,Hyderabad,40700,First Owner,12,220.0,Bajaj
69,290000.0,Dharwad,11350,First Owner,7,650.0,Kawasaki
70,110000.0,Delhi,1600,First Owner,6,350.0,Royal Enfield
71,27000.0,Vadodara,44410,First Owner,10,125.0,Bajaj
72,65000.0,Jalandhar,9800,First Owner,11,350.0,Royal Enfield
73,150000.0,Bangalore,15000,First Owner,3,350.0,Royal Enfield
74,55786.0,Surat,68000,Second Owner,7,223.0,Hero
75,45000.0,Bangalore,17757,First Owner,8,180.0,Bajaj
76,146000.0,Chennai,3900,First Owner,2,250.0,Yamaha
77,115000.0,Bangalore,23700,First Owner,4,350.0,Royal Enfield
78,30000.0,Noida,8250,First Owner,3,100.0,Bajaj
79,93100.0,Mumbai,10000,First Owner,5,200.0,Bajaj
80,82000.0,Mumbai,4300,Second Owner,3,150.0,Yamaha
81,260000.0,Navi Mumbai,3800,First Owner,2,650.0,Royal Enfield
82,38000.0,Bangalore,33000,First Owner,7,125.0,Honda
